id,col1,col2,col3,col4,col5,col6,col7,col8
34520,1,0,0,0,1,0,0,0
50966,1,0,0,1,1,0,0,0
49425,1,0,0,0,1,0,1,0
51488,0,0,0,0,1,0,1,0
41149,0,0,0,0,1,0,1,0
52204,1,0,0,0,1,0,1,0
30115,0,0,0,0,1,2,1,0
14526,0,0,0,0,0,0,1,0
9097,0,0,0,0,1,0,1,0
13503,0,0,0,0,0,0,1,0
17015,0,0,0,0,1,0,1,0
50149,0,0,0,0,0,0,1,0
18888,1,0,0,0,1,0,1,0
47703,0,0,0,0,0,2,1,0
43050,1,0,0,0,1,2,1,0
54136,0,0,2,1,1,0,1,0
35788,1,0,3,1,1,0,0,0
30470,1,0,0,0,1,0,1,0
30178,1,0,3,0,1,0,0,0
28486,1,1,2,1,1,2,1,0
14448,0,0,0,0,0,0,1,0
16419,0,0,0,0,0,0,1,0
30878,1,1,0,1,1,0,0,0
47992,0,0,0,0,1,0,1,0
1624,1,0,2,1,1,2,0,0
47932,1,0,0,0,1,0,1,0
31969,1,0,0,1,1,0,0,0
23020,0,0,0,0,1,2,1,0
15612,0,0,0,0,0,0,0,0
33971,0,0,1,0,1,0,1,1
18299,0,0,0,0,0,0,1,0
12132,0,0,0,0,0,0,1,0
24736,0,0,0,0,0,0,1,0
45338,0,1,0,1,1,2,0,1
5594,1,0,0,0,0,0,1,0
28459,0,0,0,0,0,0,1,0
7890,1,0,0,0,1,0,1,0
14349,0,0,0,0,1,0,1,0
28188,0,0,0,0,1,2,1,0
863,1,0,3,0,1,0,1,0
2797,0,0,0,0,1,0,1,0
9516,0,0,0,0,1,0,1,0
51716,0,0,0,0,1,0,0,0
5605,1,0,0,0,1,0,0,0
6755,1,0,0,0,0,0,1,0
28722,1,0,3,1,1,2,1,0
4242,0,0,0,0,1,0,1,0
7756,0,0,0,0,1,0,1,0
34675,1,0,0,0,0,0,0,1
7430,0,0,1,0,1,0,0,0
13248,1,0,0,0,1,2,1,0
54587,0,0,1,0,1,0,1,0
8810,0,0,0,0,1,0,1,0
53012,0,0,0,0,1,0,1,0
44892,1,0,3,1,1,0,0,0
52537,0,0,2,1,1,0,0,0
5552,0,0,0,0,1,0,1,0
6641,0,0,0,0,0,0,1,0
34744,1,0,0,0,1,2,1,0
8561,0,0,0,0,0,0,1,0
20412,0,0,0,0,0,0,1,0
3652,1,0,3,1,1,2,0,0
49292,1,0,2,1,1,2,1,0
46385,1,0,0,1,1,0,1,0
5812,0,0,1,0,0,2,1,1
7172,1,0,0,0,0,0,1,0
43623,0,0,0,1,1,0,1,0
33208,1,0,2,1,1,0,0,0
44397,1,0,0,0,1,0,1,0
11539,0,0,0,0,1,0,0,0
18453,1,0,1,1,1,0,1,0
27189,0,0,0,0,0,0,1,0
24103,0,0,0,0,0,0,1,1
10569,0,0,0,0,0,0,1,0
28548,0,0,0,0,1,0,1,0
19870,1,0,0,0,1,0,1,0
46694,1,0,1,1,1,0,1,0
52542,1,0,1,0,1,2,1,0
17743,0,0,0,1,0,0,1,0
35803,0,0,0,0,1,0,1,0
2194,1,0,0,1,1,2,0,0
53971,0,0,0,0,1,0,1,0
17276,0,0,0,1,0,0,1,0
14079,0,0,0,0,0,0,0,0
49003,1,0,0,0,1,0,1,0
22490,1,0,0,0,1,0,0,0
12833,1,0,0,0,1,0,1,0
51171,0,0,0,0,1,0,1,0
8998,0,0,0,0,0,0,1,0
49522,1,1,0,1,1,0,1,1
13927,0,0,0,0,0,0,1,0
4398,1,0,0,1,0,0,1,0
13813,0,0,0,0,0,0,1,0
50925,1,0,0,0,1,0,0,0
8666,1,0,0,0,1,0,1,0
51027,0,1,0,1,1,0,0,0
5661,0,0,0,0,1,0,1,0
43303,1,0,0,0,0,0,1,0
12989,1,0,0,0,0,0,1,0
21989,0,0,0,0,0,0,1,0
22903,0,0,0,0,0,0,1,0
17456,1,0,0,0,0,0,1,0
32088,0,0,0,0,1,0,1,0
7574,0,0,0,0,0,0,1,0
26549,0,0,0,0,0,0,1,0
23843,0,0,0,0,1,0,0,0
26524,0,0,0,0,0,0,1,0
24938,0,0,0,0,1,2,0,0
28390,1,0,3,1,1,2,0,0
29711,0,0,0,0,1,0,1,0
43761,0,1,1,0,1,3,1,0
44348,0,0,0,0,1,0,1,0
2113,1,0,0,0,1,2,1,0
35259,1,0,0,0,1,2,1,0
4095,1,0,1,0,1,2,1,0
4207,0,0,0,0,0,0,1,0
23623,0,0,0,0,0,0,0,0
49766,1,0,0,0,1,0,1,0
